"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","CHN","01-05_Animal","China","WLD"," World",2015,"Import",5,17411683.686
"H4","CHN","01-05_Animal","China","WLD"," World",2016,"Import",5,21552451.829
"H4","CHN","01-05_Animal","China","WLD"," World",2017,"Import",5,23523605.573
"H4","CHN","01-05_Animal","China","WLD"," World",2018,"Import",5,29327375.8
"H4","CHN","01-05_Animal","China","WLD"," World",2019,"Import",5,41920899.196
"H4","CHN","01-05_Animal","China","WLD"," World",2020,"Import",5,51267876.245
"H4","CHN","01-05_Animal","China","WLD"," World",2021,"Import",5,57026587.826
"H4","CHN","01-05_Animal","China","WLD"," World",2022,"Import",5,61455923.213
"H4","CHN","01-05_Animal","China","WLD"," World",2023,"Import",5,55314732.967
"H4","CHN","01-05_Animal","China","WLD"," World",2024,"Import",5,49403053.103
"H4","CHN","06-15_Vegetable","China","WLD"," World",2015,"Import",5,67561252.852
"H4","CHN","06-15_Vegetable","China","WLD"," World",2016,"Import",5,60910140.159
"H4","CHN","06-15_Vegetable","China","WLD"," World",2017,"Import",5,69721830.126
"H4","CHN","06-15_Vegetable","China","WLD"," World",2018,"Import",5,71051051.869
"H4","CHN","06-15_Vegetable","China","WLD"," World",2019,"Import",5,71384355.643
"H4","CHN","06-15_Vegetable","China","WLD"," World",2020,"Import",5,83016080.744
"H4","CHN","06-15_Vegetable","China","WLD"," World",2021,"Import",5,118981818.898
"H4","CHN","06-15_Vegetable","China","WLD"," World",2022,"Import",5,128967102.27
"H4","CHN","06-15_Vegetable","China","WLD"," World",2023,"Import",5,131370906.355
"H4","CHN","06-15_Vegetable","China","WLD"," World",2024,"Import",5,116297833.065
"H4","CHN","16-24_FoodProd","China","WLD"," World",2015,"Import",5,19962679.705
"H4","CHN","16-24_FoodProd","China","WLD"," World",2016,"Import",5,19253787.408
"H4","CHN","16-24_FoodProd","China","WLD"," World",2017,"Import",5,21659388.623
"H4","CHN","16-24_FoodProd","China","WLD"," World",2018,"Import",5,25566281.935
"H4","CHN","16-24_FoodProd","China","WLD"," World",2019,"Import",5,26524356.224
"H4","CHN","16-24_FoodProd","China","WLD"," World",2020,"Import",5,27756525.787
"H4","CHN","16-24_FoodProd","China","WLD"," World",2021,"Import",5,32376147.74
"H4","CHN","16-24_FoodProd","China","WLD"," World",2022,"Import",5,33379889.331
"H4","CHN","16-24_FoodProd","China","WLD"," World",2023,"Import",5,35684996.623
"H4","CHN","16-24_FoodProd","China","WLD"," World",2024,"Import",5,36642998.624
"H4","CHN","25-26_Minerals","China","WLD"," World",2015,"Import",5,99188668.422
"H4","CHN","25-26_Minerals","China","WLD"," World",2016,"Import",5,99150657.451
"H4","CHN","25-26_Minerals","China","WLD"," World",2017,"Import",5,132842660.668
"H4","CHN","25-26_Minerals","China","WLD"," World",2018,"Import",5,143883147.562
"H4","CHN","25-26_Minerals","China","WLD"," World",2019,"Import",5,173100063.649
"H4","CHN","25-26_Minerals","China","WLD"," World",2020,"Import",5,194080510.581
"H4","CHN","25-26_Minerals","China","WLD"," World",2021,"Import",5,281394734.27
"H4","CHN","25-26_Minerals","China","WLD"," World",2022,"Import",5,241349302.474
"H4","CHN","25-26_Minerals","China","WLD"," World",2023,"Import",5,259489759.193
"H4","CHN","25-26_Minerals","China","WLD"," World",2024,"Import",5,263007300.043
"H4","CHN","27-27_Fuels","China","WLD"," World",2015,"Import",5,198598578.388
"H4","CHN","27-27_Fuels","China","WLD"," World",2016,"Import",5,176532797.448
"H4","CHN","27-27_Fuels","China","WLD"," World",2017,"Import",5,249619942.053
"H4","CHN","27-27_Fuels","China","WLD"," World",2018,"Import",5,347183421.578
"H4","CHN","27-27_Fuels","China","WLD"," World",2019,"Import",5,348122322.995
"H4","CHN","27-27_Fuels","China","WLD"," World",2020,"Import",5,273676129.844
"H4","CHN","27-27_Fuels","China","WLD"," World",2021,"Import",5,405429002.412
"H4","CHN","27-27_Fuels","China","WLD"," World",2022,"Import",5,535121023.563
"H4","CHN","27-27_Fuels","China","WLD"," World",2023,"Import",5,515849679.27
"H4","CHN","27-27_Fuels","China","WLD"," World",2024,"Import",5,504006946.62
"H4","CHN","28-38_Chemicals","China","WLD"," World",2015,"Import",5,112354704.921
"H4","CHN","28-38_Chemicals","China","WLD"," World",2016,"Import",5,109136792.947
"H4","CHN","28-38_Chemicals","China","WLD"," World",2017,"Import",5,131770359.145
"H4","CHN","28-38_Chemicals","China","WLD"," World",2018,"Import",5,154660848.452
"H4","CHN","28-38_Chemicals","China","WLD"," World",2019,"Import",5,154028475.106
"H4","CHN","28-38_Chemicals","China","WLD"," World",2020,"Import",5,149865518.545
"H4","CHN","28-38_Chemicals","China","WLD"," World",2021,"Import",5,189084111.767
"H4","CHN","28-38_Chemicals","China","WLD"," World",2022,"Import",5,197740473.456
"H4","CHN","28-38_Chemicals","China","WLD"," World",2023,"Import",5,183493349.618
"H4","CHN","28-38_Chemicals","China","WLD"," World",2024,"Import",5,174661003.103
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2015,"Import",5,77262697.766
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2016,"Import",5,72762017.422
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2017,"Import",5,85670681.313
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2018,"Import",5,89732657.844
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2019,"Import",5,85205226.156
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2020,"Import",5,85666666.688
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2021,"Import",5,99554904.5
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2022,"Import",5,92607410.336
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2023,"Import",5,77657785.359
"H4","CHN","39-40_PlastiRub","China","WLD"," World",2024,"Import",5,77928790.219
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2015,"Import",5,10699312.176
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2016,"Import",5,8786681.334
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2017,"Import",5,9079891.729
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2018,"Import",5,8683716.164
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2019,"Import",5,8244045.869
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2020,"Import",5,7791388.439
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2021,"Import",5,11335649.735
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2022,"Import",5,9463023.328
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2023,"Import",5,9945962.748
"H4","CHN","41-43_HidesSkin","China","WLD"," World",2024,"Import",5,9688733.897
"H4","CHN","44-49_Wood","China","WLD"," World",2015,"Import",5,42116254.464
"H4","CHN","44-49_Wood","China","WLD"," World",2016,"Import",5,42244207.178
"H4","CHN","44-49_Wood","China","WLD"," World",2017,"Import",5,51132262.188
"H4","CHN","44-49_Wood","China","WLD"," World",2018,"Import",5,56960693.857
"H4","CHN","44-49_Wood","China","WLD"," World",2019,"Import",5,48482686.318
"H4","CHN","44-49_Wood","China","WLD"," World",2020,"Import",5,46401050.852
"H4","CHN","44-49_Wood","China","WLD"," World",2021,"Import",5,55381997.04
"H4","CHN","44-49_Wood","China","WLD"," World",2022,"Import",5,53825508.859
"H4","CHN","44-49_Wood","China","WLD"," World",2023,"Import",5,50786486.829
"H4","CHN","44-49_Wood","China","WLD"," World",2024,"Import",5,49371693.253
"H4","CHN","50-63_TextCloth","China","WLD"," World",2015,"Import",5,29184650.867
"H4","CHN","50-63_TextCloth","China","WLD"," World",2016,"Import",5,25728231.132
"H4","CHN","50-63_TextCloth","China","WLD"," World",2017,"Import",5,28577256.85
"H4","CHN","50-63_TextCloth","China","WLD"," World",2018,"Import",5,31712057.072
"H4","CHN","50-63_TextCloth","China","WLD"," World",2019,"Import",5,30106477
"H4","CHN","50-63_TextCloth","China","WLD"," World",2020,"Import",5,27371160.531
"H4","CHN","50-63_TextCloth","China","WLD"," World",2021,"Import",5,33369418.665
"H4","CHN","50-63_TextCloth","China","WLD"," World",2022,"Import",5,30291666.48
"H4","CHN","50-63_TextCloth","China","WLD"," World",2023,"Import",5,28900961.178
"H4","CHN","50-63_TextCloth","China","WLD"," World",2024,"Import",5,29975976.269
"H4","CHN","64-67_Footwear","China","WLD"," World",2015,"Import",5,2776740.381
"H4","CHN","64-67_Footwear","China","WLD"," World",2016,"Import",5,3019350.43
"H4","CHN","64-67_Footwear","China","WLD"," World",2017,"Import",5,3585759.882
"H4","CHN","64-67_Footwear","China","WLD"," World",2018,"Import",5,4576912.335
"H4","CHN","64-67_Footwear","China","WLD"," World",2019,"Import",5,5618891.956
"H4","CHN","64-67_Footwear","China","WLD"," World",2020,"Import",5,6104412.326
"H4","CHN","64-67_Footwear","China","WLD"," World",2021,"Import",5,7317460.867
"H4","CHN","64-67_Footwear","China","WLD"," World",2022,"Import",5,7109041.65
"H4","CHN","64-67_Footwear","China","WLD"," World",2023,"Import",5,7542305.705
"H4","CHN","64-67_Footwear","China","WLD"," World",2024,"Import",5,7639939.865
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2015,"Import",5,103727027.691
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2016,"Import",5,87663577.604
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2017,"Import",5,73726406.348
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2018,"Import",5,87540448.93
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2019,"Import",5,70172501.777
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2020,"Import",5,41965424.598
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2021,"Import",5,88097736.34
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2022,"Import",5,112898887.996
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2023,"Import",5,121931642.269
"H4","CHN","68-71_StoneGlas","China","WLD"," World",2024,"Import",5,125320325.937
"H4","CHN","72-83_Metals","China","WLD"," World",2015,"Import",5,84856880.486
"H4","CHN","72-83_Metals","China","WLD"," World",2016,"Import",5,76749922.152
"H4","CHN","72-83_Metals","China","WLD"," World",2017,"Import",5,92904559.737
"H4","CHN","72-83_Metals","China","WLD"," World",2018,"Import",5,104280215.272
"H4","CHN","72-83_Metals","China","WLD"," World",2019,"Import",5,94763517.129
"H4","CHN","72-83_Metals","China","WLD"," World",2020,"Import",5,117110749.483
"H4","CHN","72-83_Metals","China","WLD"," World",2021,"Import",5,153354380.208
"H4","CHN","72-83_Metals","China","WLD"," World",2022,"Import",5,158776657.442
"H4","CHN","72-83_Metals","China","WLD"," World",2023,"Import",5,141054265.599
"H4","CHN","72-83_Metals","China","WLD"," World",2024,"Import",5,149374354.626
"H4","CHN","84-85_MachElec","China","WLD"," World",2015,"Import",5,469132358
"H4","CHN","84-85_MachElec","China","WLD"," World",2016,"Import",5,453138762
"H4","CHN","84-85_MachElec","China","WLD"," World",2017,"Import",5,517554782
"H4","CHN","84-85_MachElec","China","WLD"," World",2018,"Import",5,599344906
"H4","CHN","84-85_MachElec","China","WLD"," World",2019,"Import",5,578085378
"H4","CHN","84-85_MachElec","China","WLD"," World",2020,"Import",5,633808374
"H4","CHN","84-85_MachElec","China","WLD"," World",2021,"Import",5,762971326
"H4","CHN","84-85_MachElec","China","WLD"," World",2022,"Import",5,738543352
"H4","CHN","84-85_MachElec","China","WLD"," World",2023,"Import",5,653661698
"H4","CHN","84-85_MachElec","China","WLD"," World",2024,"Import",5,708610624
"H4","CHN","86-89_Transport","China","WLD"," World",2015,"Import",5,97751514.195
"H4","CHN","86-89_Transport","China","WLD"," World",2016,"Import",5,97189147.02
"H4","CHN","86-89_Transport","China","WLD"," World",2017,"Import",5,106691528.099
"H4","CHN","86-89_Transport","China","WLD"," World",2018,"Import",5,113827304.979
"H4","CHN","86-89_Transport","China","WLD"," World",2019,"Import",5,95791931.597
"H4","CHN","86-89_Transport","China","WLD"," World",2020,"Import",5,84733061.982
"H4","CHN","86-89_Transport","China","WLD"," World",2021,"Import",5,99405921.91
"H4","CHN","86-89_Transport","China","WLD"," World",2022,"Import",5,92814352.563
"H4","CHN","86-89_Transport","China","WLD"," World",2023,"Import",5,82584346.109
"H4","CHN","86-89_Transport","China","WLD"," World",2024,"Import",5,74877653.578
"H4","CHN","90-99_Miscellan","China","WLD"," World",2015,"Import",5,103610016.476
"H4","CHN","90-99_Miscellan","China","WLD"," World",2016,"Import",5,106042623.374
"H4","CHN","90-99_Miscellan","China","WLD"," World",2017,"Import",5,113362679.687
"H4","CHN","90-99_Miscellan","China","WLD"," World",2018,"Import",5,119052805.168
"H4","CHN","90-99_Miscellan","China","WLD"," World",2019,"Import",5,117942186.688
"H4","CHN","90-99_Miscellan","China","WLD"," World",2020,"Import",5,113688670.961
"H4","CHN","90-99_Miscellan","China","WLD"," World",2021,"Import",5,128945126.843
"H4","CHN","90-99_Miscellan","China","WLD"," World",2022,"Import",5,98770475.732
"H4","CHN","90-99_Miscellan","China","WLD"," World",2023,"Import",5,97198148.489
"H4","CHN","90-99_Miscellan","China","WLD"," World",2024,"Import",5,91012004.841
"H4","CHN","AllSubHeading","China","WLD"," World",2015,"Import",5,1529059722.256
"H4","CHN","AllSubHeading","China","WLD"," World",2016,"Import",5,1447009742.271
"H4","CHN","AllSubHeading","China","WLD"," World",2017,"Import",5,1696888311.865
"H4","CHN","AllSubHeading","China","WLD"," World",2018,"Import",5,1974137836.869
"H4","CHN","AllSubHeading","China","WLD"," World",2019,"Import",5,1934642148.398
"H4","CHN","AllSubHeading","China","WLD"," World",2020,"Import",5,1933464562.328
"H4","CHN","AllSubHeading","China","WLD"," World",2021,"Import",5,2511023202.697
"H4","CHN","AllSubHeading","China","WLD"," World",2022,"Import",5,2585483096.179
"H4","CHN","AllSubHeading","China","WLD"," World",2023,"Import",5,2441694542.788
"H4","CHN","AllSubHeading","China","WLD"," World",2024,"Import",5,2458674415.458
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2015,"Import",5,108201493.137
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2016,"Import",5,102600115.198
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2017,"Import",5,115131849.903
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2018,"Import",5,123428015.769
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2019,"Import",5,132749115.186
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2020,"Import",5,157287175.468
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2021,"Import",5,204627818.687
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2022,"Import",5,217452683.272
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2023,"Import",5,214383151.578
"H4","CHN","WTO_H4_Aggri","China","WLD"," World",2024,"Import",5,196173512.679
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2015,"Import",5,1272275933.229
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2016,"Import",5,1216593248.783
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2017,"Import",5,1403433631.169
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2018,"Import",5,1590201407.203
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2019,"Import",5,1542434521.587
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2020,"Import",5,1585949607.598
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2021,"Import",5,2031159079.298
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2022,"Import",5,1983102087.081
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2023,"Import",5,1861777526.28
"H4","CHN","WTO_H4_Indus","China","WLD"," World",2024,"Import",5,1907984306.807
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2015,"Import",5,148582295.89
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2016,"Import",5,127816378.29
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2017,"Import",5,178322830.793
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2018,"Import",5,260508413.897
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2019,"Import",5,259458511.625
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2020,"Import",5,190227779.262
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2021,"Import",5,275236304.712
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2022,"Import",5,384928325.827
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2023,"Import",5,365533864.93
"H4","CHN","WTO_H4_Petro","China","WLD"," World",2024,"Import",5,354516595.971
